Station,"Depth [salt water, m]",Niskin_#,"Oxygen, Winkler [umol/kg]","Oxygen, SBE 43 [umol/kg]"
50,3.054,22,336.978,354.951
50,3.054,22,338.204,354.951
50,60.109,16,333.661,349.086
50,60.109,16,333.045,349.086
50,80.063,13,277.419,291.025
50,80.063,13,278.27,291.025
50,119.611,10,265.996,284.925
50,119.611,10,267.241,284.925
50,199.553,7,274.714,292.689
50,199.553,7,275.766,292.689
50,299.199,4,275.647,292.575
50,299.199,4,277.54,292.575
50,400.233,1,278.239,291.118
50,400.233,1,277.905,291.118
