Station,"Depth [salt water, m]",Niskin_#,"Oxygen, Winkler [umol/kg]","Oxygen, SBE 43 [umol/kg]"
103,1.998,24,359.102,375.49
103,1.998,24,356.555,375.49
103,19.848,21,355.133,372.728
103,19.848,21,356.144,372.728
103,59.984,18,286.791,308.915
103,59.984,18,288.244,308.915
103,99.9,15,286.141,308.59
103,99.9,15,287.93,308.59
103,200.048,12,282.848,305.814
103,200.048,12,282.866,305.814
103,350.267,9,285.866,307.316
103,350.267,9,285.646,307.316
103,499.64,6,283.145,303.21
103,499.64,6,281.782,303.21
103,631.902,3,272.987,295.759
103,631.902,3,275.739,295.759
