Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
1,-58.3333,160.988,1,1502.42,1522.06,83,1.6036,1.5099,34.7368,212.585,192.139,192.386,193.749,Jan-13-2023 19:00:53
1,-58.3333,160.988,1,1502.42,1522.06,48,1.6036,1.5099,34.7368,212.585,192.779,193.027,193.304,Jan-13-2023 19:00:53
1,-58.3333,160.988,3,1001.74,1013.61,49,1.9698,1.9087,34.7251,203.087,183.391,183.616,183.187,Jan-13-2023 19:11:08
1,-58.3333,160.988,3,1001.74,1013.61,52,1.9698,1.9087,34.7251,203.087,184.424,184.65,185.325,Jan-13-2023 19:11:08
1,-58.3334,160.988,5,800.507,809.594,63,2.074,2.0259,34.7004,196.593,177.191,177.402,176.997,Jan-13-2023 19:16:11
1,-58.3334,160.988,5,800.507,809.594,32,2.074,2.0259,34.7004,196.593,176.248,176.457,176.979,Jan-13-2023 19:16:11
1,-58.3333,160.988,7,601.327,607.859,58,2.1919,2.1562,34.6575,190.645,170.447,170.641,171.13,Jan-13-2023 19:20:56
1,-58.3333,160.988,7,601.327,607.859,61,2.1919,2.1562,34.6575,190.645,170.584,170.778,170.952,Jan-13-2023 19:20:56
1,-58.3333,160.988,9,400.451,404.603,62,2.3218,2.2984,34.5626,186.731,167.763,167.939,167.374,Jan-13-2023 19:25:56
1,-58.3333,160.988,9,400.451,404.603,21,2.3218,2.2984,34.5626,186.731,166.952,167.127,167.168,Jan-13-2023 19:25:56
1,-58.3333,160.988,11,199.662,201.634,53,2.0165,2.0058,34.2848,231.156,213.848,214.03,213.866,Jan-13-2023 19:30:55
1,-58.3333,160.988,11,199.662,201.634,60,2.0165,2.0058,34.2848,231.156,214.15,214.333,213.785,Jan-13-2023 19:30:55
1,-58.3333,160.988,13,100.72,101.69,47,1.39,1.3853,33.967,332.559,318.687,318.891,318.622,Jan-13-2023 19:33:43
1,-58.3333,160.988,13,100.72,101.69,56,1.39,1.3853,33.967,332.559,319.522,319.726,318.36,Jan-13-2023 19:33:43
1,-58.3333,160.988,15,76.038,76.766,57,2.2569,2.2528,33.9097,337.824,326.71,326.886,325.456,Jan-13-2023 19:35:40
1,-58.3333,160.988,15,76.038,76.766,23,2.2569,2.2528,33.9097,337.824,325.977,326.152,325.632,Jan-13-2023 19:35:40
1,-58.3333,160.988,19,49.697,50.169,82,2.5572,2.5544,33.9013,339.253,327.091,327.257,327.213,Jan-13-2023 19:38:03
1,-58.3333,160.988,19,49.697,50.169,81,2.5572,2.5544,33.9013,339.253,328.382,328.55,326.73,Jan-13-2023 19:38:03
1,-58.3334,160.988,21,5.972,6.028,88,2.6192,2.6189,33.8999,339.947,330.181,330.347,328.364,Jan-13-2023 19:40:26
1,-58.3334,160.988,21,5.972,6.028,94,2.6192,2.6189,33.8999,339.947,328.997,329.162,327.654,Jan-13-2023 19:40:26
