Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
103,-77.3977,-162.289,3,631.902,639.586,83,-1.8348,-1.8508,34.4586,295.759,272.987,273.14,274.001,Feb-6-2023 09:51:06
103,-77.3977,-162.289,3,631.902,639.586,48,-1.8348,-1.8508,34.4586,295.759,275.739,275.893,275.212,Feb-6-2023 09:51:06
103,-77.3977,-162.289,6,499.64,505.553,49,-1.8411,-1.853,34.391,303.21,283.145,283.285,281.983,Feb-6-2023 09:54:30
103,-77.3977,-162.289,6,499.64,505.553,52,-1.8411,-1.853,34.391,303.21,281.782,281.921,282.309,Feb-6-2023 09:54:30
103,-77.3977,-162.289,9,350.267,354.283,63,-1.8643,-1.872,34.3424,307.316,285.866,285.993,284.755,Feb-6-2023 09:58:32
103,-77.3977,-162.289,9,350.267,354.283,32,-1.8643,-1.872,34.3424,307.316,285.646,285.773,286.03,Feb-6-2023 09:58:32
103,-77.3977,-162.289,12,200.048,202.268,58,-1.801,-1.8052,34.2671,305.814,282.848,282.954,283.241,Feb-6-2023 10:02:20
103,-77.3977,-162.289,12,200.048,202.268,61,-1.801,-1.8052,34.2671,305.814,282.866,282.972,282.737,Feb-6-2023 10:02:20
103,-77.3977,-162.289,15,99.9,100.984,21,-1.726,-1.728,34.1851,308.59,286.141,286.227,285.897,Feb-6-2023 10:05:27
103,-77.3977,-162.289,15,99.9,100.984,62,-1.726,-1.728,34.1851,308.59,287.93,288.016,286.647,Feb-6-2023 10:05:27
103,-77.3977,-162.289,18,59.984,60.628,53,-1.7344,-1.7356,34.147,308.915,286.791,286.868,286.457,Feb-6-2023 10:07:55
103,-77.3977,-162.289,18,59.984,60.628,60,-1.7344,-1.7356,34.147,308.915,288.244,288.321,287.394,Feb-6-2023 10:07:55
103,-77.3977,-162.289,21,19.848,20.059,47,-0.5331,-0.5337,34.0162,372.728,355.133,355.18,354.739,Feb-6-2023 10:10:14
103,-77.3977,-162.289,21,19.848,20.059,56,-0.5331,-0.5337,34.0162,372.728,356.144,356.191,354.527,Feb-6-2023 10:10:14
103,-77.3977,-162.289,24,1.998,2.019,57,-0.5033,-0.5033,33.9752,375.49,359.102,359.137,357.435,Feb-6-2023 10:11:47
103,-77.3977,-162.289,24,1.998,2.019,24,-0.5033,-0.5033,33.9752,375.49,356.555,356.59,nan,Feb-6-2023 10:11:47
