Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
89,-74.9999,-160,2,3570.88,3639.38,83,0.3485,0.0981,34.6988,243.576,204.315,204.544,207.896,Feb-3-2023 07:26:43
89,-74.9999,-160,2,3570.88,3639.38,48,0.3485,0.0981,34.6988,243.576,206.426,206.658,208.867,Feb-3-2023 07:26:43
89,-74.9999,-160,4,2999.86,3053.3,49,0.4985,0.299,34.7024,239.191,206.645,206.872,208.247,Feb-3-2023 07:37:50
89,-74.9999,-160,4,2999.86,3053.3,52,0.4985,0.299,34.7024,239.191,203.771,203.994,206.583,Feb-3-2023 07:37:50
89,-74.9999,-160,6,1999.88,2030.68,63,0.6865,0.5677,34.7073,230.453,200.306,200.519,201.155,Feb-3-2023 07:54:56
89,-74.9999,-160,6,1999.88,2030.68,32,0.6865,0.5677,34.7073,230.453,200.627,200.84,202.534,Feb-3-2023 07:54:56
89,-74.9999,-160,8,1000.19,1013.15,58,1.1182,1.064,34.7223,215.886,190.314,190.509,191.406,Feb-3-2023 08:13:03
89,-74.9999,-160,8,1000.19,1013.15,61,1.1182,1.064,34.7223,215.886,191.731,191.927,192.477,Feb-3-2023 08:13:03
89,-74.9999,-160,10,700.004,708.561,21,1.3645,1.327,34.7282,208.317,182.054,182.238,182.535,Feb-3-2023 08:20:01
89,-74.9999,-160,10,700.004,708.561,62,1.3645,1.327,34.7282,208.317,183.991,184.177,183.812,Feb-3-2023 08:20:01
89,-74.9999,-160,12,450.158,455.384,60,1.5933,1.5694,34.7146,201.926,177.856,178.031,177.781,Feb-3-2023 08:26:01
89,-74.9999,-160,12,450.158,455.384,53,1.5933,1.5694,34.7146,201.926,177.641,177.816,177.884,Feb-3-2023 08:26:01
89,-74.9999,-160,14,250.167,252.948,47,-0.2385,-0.2473,34.3405,255.051,230.805,230.989,230.951,Feb-3-2023 08:30:51
89,-74.9999,-160,14,250.167,252.948,56,-0.2385,-0.2473,34.3405,255.051,230.05,230.233,229.405,Feb-3-2023 08:30:51
89,-74.9999,-160,16,149.913,151.542,57,-1.6976,-1.7008,34.1075,304.55,280.435,280.618,279.482,Feb-3-2023 08:33:57
89,-74.9999,-160,16,149.913,151.542,81,-1.6976,-1.7008,34.1075,304.55,280.502,280.686,279.257,Feb-3-2023 08:33:57
89,-74.9999,-160,18,100.08,101.155,64,-1.7836,-1.7856,34.0793,310.309,287.882,288.064,287.6,Feb-3-2023 08:36:11
89,-74.9999,-160,18,100.08,101.155,66,-1.7836,-1.7856,34.0793,310.309,287.191,287.372,285.743,Feb-3-2023 08:36:11
89,-74.9999,-160,22,29.464,29.776,67,-1.6713,-1.6719,34.0225,318.82,296.975,297.146,296.753,Feb-3-2023 08:39:48
89,-74.9999,-160,22,29.464,29.776,68,-1.6713,-1.6719,34.0225,318.82,301.042,301.216,299.572,Feb-3-2023 08:39:48
89,-75,-160,24,3.017,3.049,69,0.1056,0.1054,33.4941,376.31,360.568,360.607,358.873,Feb-3-2023 08:41:49
89,-75,-160,24,3.017,3.049,65,0.1056,0.1054,33.4941,376.31,362.079,362.118,361.409,Feb-3-2023 08:41:49
