Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
80,-77.8,-170,3,532.829,539.187,81,-1.8402,-1.8532,34.4716,298.971,280.149,280.265,279.333,Feb-1-2023 05:02:51
80,-77.8,-170,3,532.829,539.187,64,-1.8402,-1.8532,34.4716,298.971,280.448,280.564,280.675,Feb-1-2023 05:02:51
80,-77.8,-170,6,399.673,404.312,66,-1.8387,-1.8479,34.4546,303.324,283.205,283.317,282.102,Feb-1-2023 05:06:32
80,-77.8,-170,6,399.673,404.312,67,-1.8387,-1.8479,34.4546,303.324,281.6,281.711,281.821,Feb-1-2023 05:06:32
80,-77.8,-170,9,299.514,302.916,68,-1.804,-1.8107,34.4388,302.809,281.758,281.863,280.676,Feb-1-2023 05:09:48
80,-77.8,-170,9,299.514,302.916,69,-1.804,-1.8107,34.4388,302.809,281.352,281.457,280.49,Feb-1-2023 05:09:48
80,-77.8,-170,12,199.992,202.214,65,-1.7634,-1.7677,34.4106,300.796,280.569,280.666,280.372,Feb-1-2023 05:12:28
80,-77.8,-170,15,99.517,100.598,72,-1.7886,-1.7906,34.328,303.23,279.312,279.388,278.858,Feb-1-2023 05:15:21
80,-77.8,-170,15,99.517,100.598,74,-1.7886,-1.7906,34.328,303.23,279.88,279.956,278.833,Feb-1-2023 05:15:21
80,-77.8,-170,18,70.042,70.798,70,-1.7706,-1.772,34.2641,313.475,290.444,290.508,289.905,Feb-1-2023 05:17:02
80,-77.8,-170,18,70.042,70.798,77,-1.7706,-1.772,34.2641,313.475,289.082,289.146,289.295,Feb-1-2023 05:17:02
80,-77.8,-170,21,34.918,35.291,78,-1.0334,-1.0343,34.0818,361.796,339.308,339.327,339.432,Feb-1-2023 05:18:52
80,-77.8,-170,21,34.918,35.291,79,-1.0334,-1.0343,34.0818,361.796,342.844,342.863,340.559,Feb-1-2023 05:18:52
80,-77.8,-170,24,2.945,2.976,29,-0.5797,-0.5797,33.984,382.064,365.987,365.975,363.668,Feb-1-2023 05:20:35
80,-77.8,-170,24,2.945,2.976,35,-0.5797,-0.5797,33.984,382.064,363.454,363.442,363.129,Feb-1-2023 05:20:35
