Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
50,-74.9,180,1,400.233,404.829,39,-1.8372,-1.8465,34.6376,291.118,278.239,278.612,278.456,Jan-27-2023 07:44:58
50,-74.9,180,1,400.233,404.829,27,-1.8372,-1.8465,34.6376,291.118,277.905,278.278,278.596,Jan-27-2023 07:44:58
50,-74.9,180,4,299.199,302.559,24,-1.7788,-1.7856,34.5723,292.575,275.647,275.998,275.946,Jan-27-2023 07:47:57
50,-74.9,180,4,299.199,302.559,29,-1.7788,-1.7856,34.5723,292.575,277.54,277.894,276.526,Jan-27-2023 07:47:57
50,-74.9,180,7,199.553,201.745,35,-1.7631,-1.7675,34.5331,292.689,274.714,275.052,275.072,Jan-27-2023 07:50:36
50,-74.9,180,7,199.553,201.745,92,-1.7631,-1.7675,34.5331,292.689,275.766,276.105,275.048,Jan-27-2023 07:50:36
50,-74.9,180,10,119.611,120.901,91,-1.4211,-1.424,34.4654,284.925,265.996,266.304,265.156,Jan-27-2023 07:53:16
50,-74.9,180,10,119.611,120.901,31,-1.4211,-1.424,34.4654,284.925,267.241,267.55,266.115,Jan-27-2023 07:53:16
50,-74.9,180,13,80.063,80.918,84,-1.4012,-1.4031,34.3644,291.025,277.419,277.715,276.019,Jan-27-2023 07:54:59
50,-74.9,180,13,80.063,80.918,84,-1.4012,-1.4031,34.3644,291.025,278.27,278.567,276.866,Jan-27-2023 07:54:59
50,-74.9,180,16,60.109,60.748,94,-1.0219,-1.0235,34.199,349.086,333.661,333.97,332.524,Jan-27-2023 07:56:19
50,-74.9,180,16,60.109,60.748,88,-1.0219,-1.0235,34.199,349.086,333.045,333.354,331.436,Jan-27-2023 07:56:19
50,-74.9,180,22,3.054,3.086,23,-0.9612,-0.9613,34.1871,354.951,336.978,337.284,336.633,Jan-27-2023 07:59:48
50,-74.9,180,22,3.054,3.086,75,-0.9612,-0.9613,34.1871,354.951,338.204,338.512,336.258,Jan-27-2023 07:59:48
