Station,Latitude [deg],Longitude [deg],Niskin_#,"Depth [salt water, m]","Pressure, Digiquartz [db]",Bottle_#,"Temperature [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Oxygen, SBE 43 [umol/kg]","Oxygen, Winkler [umol/kg]","O2[umol/kg], checked",O2[umol/kg],Date_Time
41,-74.9,175.5,3,283.347,286.518,83,-1.0561,-1.0643,34.5803,267.101,252.342,252.659,253.049,Jan-25-2023 22:20:55
41,-74.9,175.5,3,283.347,286.518,48,-1.0561,-1.0643,34.5803,267.101,253.433,253.751,252.719,Jan-25-2023 22:20:55
41,-74.9,175.5,7,200.082,202.28,49,-0.3313,-0.3382,34.5484,246.563,231.234,231.509,230.128,Jan-25-2023 22:23:23
41,-74.9,175.5,7,200.082,202.28,49,-0.3313,-0.3382,34.5484,246.563,231.234,231.509,230.128,Jan-25-2023 22:23:23
41,-74.9,175.5,7,200.082,202.28,52,-0.3313,-0.3382,34.5484,246.563,230.393,230.668,230.668,Jan-25-2023 22:23:23
41,-74.9,175.5,11,99.947,101.021,63,-1.4837,-1.486,34.3832,283.122,266.101,266.391,264.934,Jan-25-2023 22:26:13
41,-74.9,175.5,11,99.947,101.021,32,-1.4837,-1.486,34.3832,283.122,264.662,264.95,264.884,Jan-25-2023 22:26:13
41,-74.9,175.5,15,50.712,51.25,58,-1.6558,-1.6569,34.3201,298.43,278.519,278.808,278.902,Jan-25-2023 22:28:12
41,-74.9,175.5,15,50.712,51.25,61,-1.6558,-1.6569,34.3201,298.43,278.953,279.242,278.823,Jan-25-2023 22:28:12
41,-74.9,175.5,19,35.235,35.608,21,-0.4644,-0.4655,34.1879,360.145,333.603,333.902,333.425,Jan-25-2023 22:29:30
41,-74.9,175.5,19,35.235,35.608,62,-0.4644,-0.4655,34.1879,360.145,335.138,335.439,333.752,Jan-25-2023 22:29:30
41,-74.9,175.5,23,2.791,2.82,53,-0.317,-0.3171,34.1666,368.122,352.195,352.502,351.912,Jan-25-2023 22:31:24
41,-74.9,175.5,23,2.791,2.82,60,-0.317,-0.3171,34.1666,368.122,352.231,352.538,351.32,Jan-25-2023 22:31:24
