Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,61,1,2,538,lat,lon,83,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1175.1,9.986,0.01,715.477,4.25,2,141.004,294.832,0.439,34.079,1.027,286.986,0.2514,-1.3,4.5,0.7,2147483647,230.663,-0.196271,0.0003941,9.41952,-0.008,8e-06,nan
ANA13B,61,1,2,538,lat,lon,48,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1185.01,9.986,0.01,715.477,4.25,2,142.793,293.554,0.439,34.079,1.027,285.742,0.2514,-1.3,4.5,0.7,2147483647,259.443,-0.218934,0.0006389,9.49952,-0.008,8e-06,nan
ANA13B,61,1,4,400,lat,lon,49,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1120.29,9.986,0.01,715.477,4.25,2,138.979,285.159,0.439,34.079,1.027,277.57,0.2514,-1.3,4.5,0.7,2147483647,273.182,-0.243834,0.001279,0.01,0,0,nan
ANA13B,61,1,4,400,lat,lon,52,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1112.6,9.986,0.01,715.477,4.25,2,138.162,284.889,0.439,34.079,1.027,277.308,0.2514,-1.3,4.5,0.7,2147483647,247.827,-0.22275,0.000436,8.91952,-0.008,8e-06,nan
ANA13B,61,1,6,200,lat,lon,63,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1075.14,9.986,0.01,715.477,4.25,2,140.86,269.894,0.439,34.079,1.027,262.712,0.2514,-1.3,4.5,0.7,2147483647,225.45,-0.209669,0.0008592,12.9283,-0.012,6e-06,nan
ANA13B,61,1,6,200,lat,lon,32,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1086.71,9.986,0.01,715.477,4.25,2,142.137,270.33,0.439,34.079,1.027,263.136,0.2514,-1.3,4.5,0.7,2147483647,243.367,-0.223911,0.0016872,0.01,0,0,nan
ANA13B,61,1,8,100,lat,lon,58,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1158.14,9.986,0.01,715.477,4.25,2,143.023,286.393,0.439,34.079,1.027,278.772,0.2514,-1.3,4.5,0.7,2147483647,225.976,-0.195086,0.0003017,0.01,0,0,nan
ANA13B,61,1,8,100,lat,lon,61,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1150.62,9.986,0.01,715.477,4.25,2,142.281,286.028,0.439,34.079,1.027,278.417,0.2514,-1.3,4.5,0.7,2147483647,253.1,-0.219945,0.0009339,0.01,0,0,nan
ANA13B,61,1,10,60,lat,lon,21,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1188.41,9.986,0.01,715.477,4.25,2,142.261,295.517,0.439,34.079,1.027,287.653,0.2514,-1.3,4.5,0.7,2147483647,240.121,-0.202034,0.0007694,9.52752,-0.008,8e-06,nan
ANA13B,61,1,10,60,lat,lon,62,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1185.86,9.986,0.01,715.477,4.25,2,141.763,295.931,0.439,34.079,1.027,288.055,0.2514,-1.3,4.5,0.7,2147483647,235.493,-0.198565,0.001046,14.2543,-0.012,7.5e-06,nan
ANA13B,61,1,10,60,lat,lon,62,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1185.86,9.986,0.01,715.477,4.25,2,141.763,295.931,0.439,34.079,1.027,288.055,0.2514,-1.3,4.5,0.7,2147483647,235.493,-0.198565,0.001046,14.2543,-0.012,7.5e-06,nan
ANA13B,61,1,12,20,lat,lon,53,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1448.98,9.986,0.01,715.477,4.25,2,146.282,350.613,0.439,34.079,1.027,341.283,0.2514,-1.3,4.5,0.7,2147483647,257.113,-0.177429,0.005009,11.6115,-0.008,8e-06,nan
ANA13B,61,1,12,20,lat,lon,60,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1410.74,9.986,0.01,715.477,4.25,2,142.525,350.444,0.439,34.079,1.027,341.118,0.2514,-1.3,4.5,0.7,2147483647,272.915,-0.193444,0.0048094,11.3035,-0.008,8e-06,nan
ANA13B,61,1,22,0,lat,lon,47,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1440.02,9.986,0.01,715.477,4.25,2,144.224,353.477,0.439,34.079,1.027,344.07,0.2514,-1.3,4.5,0.7,2147483647,300.972,-0.208994,0.003146,11.5415,-0.008,8e-06,nan
ANA13B,61,1,22,0,lat,lon,56,2023-01-29,2023-02-02,24.2,0.99725,0.14041,0.14027,1439.56,9.986,0.01,715.477,4.25,2,143.709,354.648,0.439,34.079,1.027,345.21,0.2514,-1.3,4.5,0.7,2147483647,316.57,-0.219879,0.0030109,17.3023,-0.012,6e-06,nan
