Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,41,1,3,0,lat,lon,83,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1034.24,9.986,0.01,713.93,3.345,2,141.004,259.76,3.241,33.314,1.027,253.049,0.2514,-1.3,4.5,0.7,2147483647,269.375,-0.260441,0.0011065,8.29352,-0.008,8e-06,nan
ANA13B,41,1,3,282,lat,lon,48,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1046.12,9.986,0.01,713.93,3.345,2,142.793,259.421,3.241,33.314,1.027,252.719,0.2514,-1.3,4.5,0.7,2147483647,248.919,-0.237928,0.0016038,0.01,0,0,nan
ANA13B,41,1,7,200,lat,lon,49,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,927.43,9.986,0.01,713.93,3.345,2,138.979,236.231,3.241,33.314,1.027,230.128,0.2514,-1.3,4.5,0.7,2147483647,264.749,-0.285437,0.0028642,11.1554,-0.012,6e-06,nan
ANA13B,41,1,7,200,lat,lon,49,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,927.43,9.986,0.01,713.93,3.345,2,138.979,236.231,3.241,33.314,1.027,230.128,0.2514,-1.3,4.5,0.7,2147483647,264.749,-0.285437,0.0028642,11.1554,-0.012,6e-06,nan
ANA13B,41,1,7,200,lat,lon,52,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,924.08,9.986,0.01,713.93,3.345,2,138.162,236.785,3.241,33.314,1.027,230.668,0.2514,-1.3,4.5,0.7,2147483647,213.479,-0.230996,0.0035693,0.01,0,0,nan
ANA13B,41,1,11,100,lat,lon,63,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1081.44,9.986,0.01,713.93,3.345,2,140.86,271.96,3.241,33.314,1.027,264.934,0.2514,-1.3,4.5,0.7,2147483647,246.797,-0.228196,0.0018092,8.67152,-0.008,8e-06,nan
ANA13B,41,1,11,100,lat,lon,32,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1091.13,9.986,0.01,713.93,3.345,2,142.137,271.908,3.241,33.314,1.027,264.884,0.2514,-1.3,4.5,0.7,2147483647,225.365,-0.206511,0.0006704,0.01,0,0,nan
ANA13B,41,1,15,50,lat,lon,58,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1155.81,9.986,0.01,713.93,3.345,2,143.023,286.298,3.241,33.314,1.027,278.902,0.2514,-1.3,4.5,0.7,2147483647,293.218,-0.253674,0.000631,9.26552,-0.008,8e-06,nan
ANA13B,41,1,15,50,lat,lon,61,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1149.43,9.986,0.01,713.93,3.345,2,142.281,286.216,3.241,33.314,1.027,278.823,0.2514,-1.3,4.5,0.7,2147483647,186.97,-0.162632,0.0021946,9.21552,-0.008,8e-06,nan
ANA13B,41,1,19,35,lat,lon,21,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1373.25,9.986,0.01,713.93,3.345,2,142.261,342.266,3.241,33.314,1.027,333.425,0.2514,-1.3,4.5,0.7,2147483647,326.183,-0.237511,0.0008702,0.01,0,0,nan
ANA13B,41,1,19,35,lat,lon,62,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1369.73,9.986,0.01,713.93,3.345,2,141.763,342.602,3.241,33.314,1.027,333.752,0.2514,-1.3,4.5,0.7,2147483647,296.792,-0.216666,0.0018139,10.9775,-0.008,8e-06,nan
ANA13B,41,1,23,0,lat,lon,53,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1490.47,9.986,0.01,713.93,3.345,2,146.282,361.244,3.241,33.314,1.027,351.912,0.2514,-1.3,4.5,0.7,2147483647,324.507,-0.21771,0.0012148,11.9435,-0.008,8e-06,nan
ANA13B,41,1,23,0,lat,lon,60,2023-01-25,2023-01-28,24.2,0.99725,0.14053,0.1404,1449.37,9.986,0.01,713.93,3.345,2,142.525,360.636,3.241,33.314,1.027,351.32,0.2514,-1.3,4.5,0.7,2147483647,333.33,-0.229972,0.0011137,0.01,0,0,nan
