Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,1,1,1,1500,lat,lon,83,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,792.33,9.986,0.01,713.162,3.165,2,141.004,198.887,3.241,33.314,1.027,193.749,0.2514,-1.3,4.5,0.7,2147483647,181.139,-0.228582,0.0004569,0.01,0,0,nan
ANA13B,1,1,1,1500,lat,lon,48,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,800.63,9.986,0.01,713.162,3.165,2,142.793,198.43,3.241,33.314,1.027,193.304,0.2514,-1.3,4.5,0.7,2147483647,171.896,-0.214677,0.0003133,6.4236,-0.008,8e-06,nan
ANA13B,1,1,3,1000,lat,lon,49,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,738.59,9.986,0.01,713.162,3.165,2,138.979,188.045,3.241,33.314,1.027,183.187,0.2514,-1.3,4.5,0.7,2147483647,200.764,-0.271793,0.0011413,7.61891,-0.0102857,4.3e-06,nan
ANA13B,1,1,3,1000,lat,lon,52,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,742.72,9.986,0.01,713.162,3.165,2,138.162,190.239,3.241,33.314,1.027,185.325,0.2514,-1.3,4.5,0.7,2147483647,201.297,-0.271002,0.0023788,5.9616,-0.008,8e-06,nan
ANA13B,1,1,5,800,lat,lon,63,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,723.54,9.986,0.01,713.162,3.165,2,140.86,181.691,3.241,33.314,1.027,176.997,0.2514,-1.3,4.5,0.7,2147483647,185.569,-0.256446,0.0017769,5.8076,-0.008,8e-06,nan
ANA13B,1,1,5,800,lat,lon,32,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,730.07,9.986,0.01,713.162,3.165,2,142.137,181.672,3.241,33.314,1.027,176.979,0.2514,-1.3,4.5,0.7,2147483647,221.258,-0.303013,0.0010889,8.7854,-0.012,6e-06,nan
ANA13B,1,1,7,600,lat,lon,58,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,710.55,9.986,0.01,713.162,3.165,2,143.023,175.668,3.241,33.314,1.027,171.13,0.2514,-1.3,4.5,0.7,2147483647,183.707,-0.258544,0.0006811,0.01,0,0,nan
ANA13B,1,1,7,600,lat,lon,61,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,706.11,9.986,0.01,713.162,3.165,2,142.281,175.485,3.241,33.314,1.027,170.952,0.2514,-1.3,4.5,0.7,2147483647,176.071,-0.249288,0.0003883,5.6676,-0.008,8e-06,nan
ANA13B,1,1,9,400,lat,lon,21,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,690.5,9.986,0.01,713.162,3.165,2,142.261,171.601,3.241,33.314,1.027,167.168,0.2514,-1.3,4.5,0.7,2147483647,156.391,-0.226471,0.0005696,0.01,0,0,nan
ANA13B,1,1,9,400,lat,lon,62,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,688.91,9.986,0.01,713.162,3.165,2,141.763,171.813,3.241,33.314,1.027,167.374,0.2514,-1.3,4.5,0.7,2147483647,155.929,-0.226312,0.0003693,0.01,0,0,nan
ANA13B,1,1,11,200,lat,lon,53,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,907.03,9.986,0.01,713.162,3.165,2,146.282,219.537,3.241,33.314,1.027,213.866,0.2514,-1.3,4.5,0.7,2147483647,215.964,-0.238076,0.0008527,7.2756,-0.008,8e-06,nan
ANA13B,1,1,11,200,lat,lon,60,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,883.22,9.986,0.01,713.162,3.165,2,142.525,219.454,3.241,33.314,1.027,213.785,0.2514,-1.3,4.5,0.7,2147483647,226.5,-0.25642,0.0006075,7.0916,-0.008,8e-06,nan
ANA13B,1,1,13,100,lat,lon,47,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1329.54,9.986,0.01,713.162,3.165,2,144.224,327.071,3.241,33.314,1.027,318.622,0.2514,-1.3,4.5,0.7,2147483647,341.669,-0.25698,0.0007376,10.6555,-0.008,8e-06,nan
ANA13B,1,1,13,100,lat,lon,56,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1323.66,9.986,0.01,713.162,3.165,2,143.709,326.802,3.241,33.314,1.027,318.36,0.2514,-1.3,4.5,0.7,2147483647,337.102,-0.254647,0.0006987,10.6095,-0.008,8e-06,nan
ANA13B,1,1,15,75,lat,lon,57,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1343.47,9.986,0.01,713.162,3.165,2,142.702,334.086,3.241,33.314,1.027,325.456,0.2514,-1.3,4.5,0.7,2147483647,323.811,-0.240999,0.000436,0.01,0,0,nan
ANA13B,1,1,15,75,lat,lon,23,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1330.93,9.986,0.01,713.162,3.165,2,141.308,334.267,3.241,33.314,1.027,325.632,0.2514,-1.3,4.5,0.7,2147483647,351.12,-0.26378,0.0007369,0.01,0,0,nan
ANA13B,1,1,19,50,lat,lon,82,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1383.1,9.986,0.01,713.162,3.165,2,146.091,335.89,3.241,33.314,1.027,327.213,0.2514,-1.3,4.5,0.7,2147483647,353.471,-0.255558,0.0003256,11.0835,-0.008,8e-06,nan
ANA13B,1,1,19,50,lat,lon,81,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1388.54,9.986,0.01,713.162,3.165,2,146.874,335.394,3.241,33.314,1.027,326.73,0.2514,-1.3,4.5,0.7,2147483647,348.737,-0.251141,0.0003411,11.1275,-0.008,8e-06,nan
ANA13B,1,1,21,0,lat,lon,88,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1357.2,9.986,0.01,713.162,3.165,2,142.887,337.071,3.241,33.314,1.027,328.364,0.2514,-1.3,4.5,0.7,2147483647,348.222,-0.25656,0.0001886,0.01,0,0,nan
ANA13B,1,1,21,0,lat,lon,94,2023-01-14,2023-01-15,24.2,0.99725,0.14065,0.14051,1333.11,9.986,0.01,713.162,3.165,2,140.676,336.343,3.241,33.314,1.027,327.654,0.2514,-1.3,4.5,0.7,2147483647,411.442,-0.308615,0.0004631,16.0233,-0.012,6e-06,nan
