Cruise,Station,Cast,Niskin_#,Depth,Lat,Lon,Bottle_#,Sample_date,Run_date,Thio_Temp(degC),Thio_Density,M(Thio tL),M(Thio 20C),End_Point,Vol_KIO3,N_KIO3,Std_Tit,Blk_Tit,Vol_Reag,Bot_Vol(ml),O2[uM],Draw_Temp(degC),Salinity,SW_density,O2[umol/kg],uLperst,uLoffset,slope,Speed,Wait,b,m,mse1,b.1,m2,mse2,None
ANA13B,80,1,3,532,lat,lon,81,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1191.97,9.986,0.01,715.477,4.25,2,146.874,286.969,0.439,34.079,1.027,279.333,0.2514,-1.3,4.5,0.7,2147483647,239.935,-0.201275,0.001797,14.3293,-0.012,6e-06,nan
ANA13B,80,1,3,532,lat,lon,64,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1168.51,9.986,0.01,715.477,4.25,2,143.328,288.348,0.439,34.079,1.027,280.675,0.2514,-1.3,4.5,0.7,2147483647,223.107,-0.190889,0.0016828,0.02,0,0,nan
ANA13B,80,1,6,400,lat,lon,66,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1137.6,9.986,0.01,715.477,4.25,2,138.873,289.814,0.439,34.079,1.027,282.102,0.2514,-1.3,4.5,0.7,2147483647,243.279,-0.213832,0.0024887,13.6803,-0.012,6e-06,nan
ANA13B,80,1,6,400,lat,lon,67,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1156,9.986,0.01,715.477,4.25,2,141.238,289.526,0.439,34.079,1.027,281.821,0.2514,-1.3,4.5,0.7,2147483647,226.89,-0.196236,0.0005352,13.8973,-0.012,6e-06,nan
ANA13B,80,1,9,300,lat,lon,68,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1123,9.986,0.01,715.477,4.25,2,137.793,288.349,0.439,34.079,1.027,280.676,0.2514,-1.3,4.5,0.7,2147483647,282.035,-0.251113,0.0014778,13.5033,-0.012,6e-06,nan
ANA13B,80,1,9,300,lat,lon,69,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1162.69,9.986,0.01,715.477,4.25,2,142.713,288.158,0.439,34.079,1.027,280.49,0.2514,-1.3,4.5,0.7,2147483647,207.028,-0.178046,0.0095758,9.31952,-0.008,8e-06,nan
ANA13B,80,1,12,200,lat,lon,65,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1183.6,9.986,0.01,715.477,4.25,2,145.318,288.037,0.439,34.079,1.027,280.372,0.2514,-1.3,4.5,0.7,2147483647,198.611,-0.167809,0.00423,14.2273,-0.012,7.5e-06,nan
ANA13B,80,1,15,100,lat,lon,72,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1153.12,9.986,0.01,715.477,4.25,2,142.365,286.482,0.439,34.079,1.027,278.858,0.2514,-1.3,4.5,0.7,2147483647,234.934,-0.2037,0.0003759,13.8663,-0.012,6e-06,nan
ANA13B,80,1,15,100,lat,lon,74,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1155.45,9.986,0.01,715.477,4.25,2,142.663,286.456,0.439,34.079,1.027,278.833,0.2514,-1.3,4.5,0.7,2147483647,259.188,-0.224288,0.0003355,13.8913,-0.012,7.5e-06,nan
ANA13B,80,1,18,70,lat,lon,70,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1190.08,9.986,0.01,715.477,4.25,2,141.368,297.831,0.439,34.079,1.027,289.905,0.2514,-1.3,4.5,0.7,2147483647,209.706,-0.17619,0.0016732,9.54152,-0.008,8e-06,nan
ANA13B,80,1,18,70,lat,lon,77,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1201.48,9.986,0.01,715.477,4.25,2,143.007,297.204,0.439,34.079,1.027,289.295,0.2514,-1.3,4.5,0.7,2147483647,217.419,-0.180935,0.0006747,13.7579,-0.0114286,7.1e-06,nan
ANA13B,80,1,21,35,lat,lon,78,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1378.82,9.986,0.01,715.477,4.25,2,140.013,348.712,0.439,34.079,1.027,339.432,0.2514,-1.3,4.5,0.7,2147483647,251.395,-0.182288,0.0012696,11.0515,-0.008,1e-05,nan
ANA13B,80,1,21,35,lat,lon,79,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1403.17,9.986,0.01,715.477,4.25,2,141.997,349.869,0.439,34.079,1.027,340.559,0.2514,-1.3,4.5,0.7,2147483647,254.605,-0.181433,0.0011446,16.8633,-0.012,6e-06,nan
ANA13B,80,1,24,0,lat,lon,29,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1529.27,9.986,0.01,715.477,4.25,2,144.937,373.61,0.439,34.079,1.027,363.668,0.2514,-1.3,4.5,0.7,2147483647,252.43,-0.165046,0.0046974,0.02,0,0,nan
ANA13B,80,1,24,0,lat,lon,35,2023-02-01,2023-02-02,24.2,0.99725,0.14041,0.14027,1508.08,9.986,0.01,715.477,4.25,2,143.157,373.057,0.439,34.079,1.027,363.129,0.2514,-1.3,4.5,0.7,2147483647,211.02,-0.139891,0.0011775,18.1343,-0.012,6e-06,nan
