Date_Time,Bottle,Month,Day,Year,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]",Scan,"Time, Elapsed [seconds]","Depth [salt water, m]","Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Pressure, Digiquartz [db]",Conductivity [mS/cm],"Conductivity, 2 [mS/cm]",Specific Conductance [uS/cm],"Oxygen, SBE 43 [mg/l]","Oxygen, SBE 43 [umol/kg]","Oxygen Saturation, Weiss [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]",Latitude [deg],Longitude [deg],Julian Days,Time,"Scan, sde","Elapsed, sde","Depth, sde","Temperature, sde","Temperature, 2, sde","Potental Temperature, sde","Pressure, sde","Conductivity, sde","Conductivity, 2, sde","Specific Conductance, sde","Oxygen [mg/l], sde","Oxygen [umol/kg], sde","Weiss [ml/l], sde","Beam Attenuation, sde","Fluorescence, sde","Latitude, sde","Longitude, sde","Julian Days, sde"
Feb-6-2023 09:50:49,1,Feb,6,2023,34.4587,34.4598,24593,1024.67,632.265,-1.835,-1.8349,-1.851,639.955,27.3769,27.3777,59092.2,9.7386,296.119,8.48577,0.0560,0.1043,-77.3977,-162.289,37.4103,09:50:49,14,0.595,0.077,0.0001,0.0001,0.0001,0.078,0.000149,0.000132,0.471,0.0041,0.124,2e-05,0.0051,0.0662,0,1e-05,6.921e-06
Feb-6-2023 09:50:57,2,Feb,6,2023,34.4587,34.4597,24784,1032.62,631.938,-1.8349,-1.8348,-1.8509,639.623,27.3769,27.3777,59091.8,9.7461,296.348,8.48574,0.0535,0.0351,-77.3977,-162.289,37.4104,09:50:57,14,0.595,0.221,0.0001,0.0001,0.0001,0.224,0.000175,0.00019,0.484,0.0067,0.202,3e-05,0.0013,0.0154,0,1e-05,6.921e-06
Feb-6-2023 09:51:06,3,Feb,6,2023,34.4586,34.4596,25005,1041.83,631.902,-1.8348,-1.8347,-1.8508,639.586,27.3769,27.3776,59091.5,9.7267,295.759,8.48572,0.0551,0.0407,-77.3977,-162.289,37.4105,09:51:06,14,0.595,0.077,0.0001,0.0001,0.0001,0.078,0.000151,0.000144,0.444,0.0065,0.197,2e-05,0.003,0.0207,0,1e-05,6.7659e-06
Feb-6-2023 09:54:16,4,Feb,6,2023,34.3907,34.3936,29556,1231.46,499.613,-1.8419,-1.8421,-1.8538,505.527,27.2624,27.2643,58862.6,9.9452,302.42,8.49138,0.0317,0.0096,-77.3977,-162.289,37.4127,09:54:16,14,0.595,0.046,0.0009,0.0002,0.0009,0.046,0.000902,0.000169,0.707,0.0036,0.111,0.00022,0.0009,0.0209,0,1e-05,6.899e-06
Feb-6-2023 09:54:22,5,Feb,6,2023,34.3904,34.3919,29711,1237.92,499.538,-1.8436,-1.8425,-1.8555,505.45,27.2607,27.2627,58863.2,9.9759,303.352,8.4918,0.0316,-0.0041,-77.3977,-162.289,37.4128,09:54:22,14,0.595,0.101,0.0013,0.0009,0.0013,0.102,0.001238,0.000882,0.825,0.0039,0.117,0.00031,0.0022,0.0133,0,1e-05,6.9429e-06
Feb-6-2023 09:54:30,6,Feb,6,2023,34.391,34.3918,29885,1245.17,499.64,-1.8411,-1.8414,-1.853,505.553,27.2633,27.2636,58862.4,9.9712,303.21,8.49118,0.0323,-0.0066,-77.3977,-162.289,37.4128,09:54:30,14,0.595,0.096,0.0002,0.0002,0.0002,0.098,0.000182,0.000183,0.502,0.0063,0.19,4e-05,0.0033,0.0114,0,0,6.9647e-06
Feb-6-2023 09:58:10,7,Feb,6,2023,34.3426,34.3434,35184,1465.96,350.037,-1.864,-1.8638,-1.8717,354.051,27.1414,27.1422,58657.3,10.0976,307.063,8.49938,0.0215,-0.0004,-77.3977,-162.289,37.4154,09:58:10,14,0.595,0.065,0.0001,0.0002,0.0002,0.066,0.000181,0.000234,0.469,0.0042,0.129,4e-05,0.0008,0.0149,1e-05,1e-05,6.8328e-06
Feb-6-2023 09:58:22,8,Feb,6,2023,34.3424,34.3433,35468,1477.79,350.03,-1.8641,-1.8638,-1.8719,354.043,27.1412,27.1421,58657.2,10.1092,307.417,8.49942,0.0220,-0.0004,-77.3977,-162.289,37.4155,09:58:22,14,0.595,0.051,0.0001,0.0001,0.0001,0.051,0.000143,0.000183,0.385,0.0045,0.138,3e-05,0.0011,0.0149,1e-05,1e-05,6.921e-06
Feb-6-2023 09:58:32,9,Feb,6,2023,34.3424,34.3433,35702,1487.54,350.267,-1.8643,-1.8642,-1.872,354.283,27.1411,27.1419,58657.5,10.1059,307.316,8.49947,0.0220,0.0071,-77.3977,-162.289,37.4156,09:58:32,14,0.595,0.04,0.0001,0.0001,0.0001,0.041,0.000162,0.000128,0.454,0.0066,0.2,3e-05,0.0013,0.015,0,1e-05,6.877e-06
Feb-6-2023 10:02:05,10,Feb,6,2023,34.2675,34.2686,40805,1700.17,199.755,-1.7996,-1.7988,-1.8038,201.971,27.0719,27.0733,58344.8,10.0641,306.066,8.48874,0.0558,0.0862,-77.3977,-162.289,37.4181,10:02:05,14,0.595,0.088,0.0003,0.0003,0.0003,0.089,0.000341,0.000361,0.489,0.0033,0.1,8e-05,0.004,0.0215,0,1e-05,6.899e-06
Feb-6-2023 10:02:12,11,Feb,6,2023,34.2671,34.2682,40981,1707.5,199.823,-1.7991,-1.7996,-1.8033,202.04,27.0721,27.0724,58343.8,10.0529,305.724,8.48863,0.0548,0.1068,-77.3977,-162.289,37.4182,10:02:12,14,0.595,0.059,0.0005,0.0002,0.0005,0.06,0.000336,0.000247,0.829,0.0031,0.095,0.00011,0.0025,0.0101,0,0,6.8328e-06
Feb-6-2023 10:02:20,12,Feb,6,2023,34.2671,34.268,41164,1715.12,200.048,-1.801,-1.7998,-1.8052,202.268,27.0707,27.0722,58345.5,10.0559,305.814,8.48908,0.0544,0.1342,-77.3977,-162.289,37.4183,10:02:20,14,0.595,0.032,0.0008,0.0008,0.0008,0.032,0.000728,0.000564,0.834,0.0042,0.128,0.00018,0.0021,0.0313,0,0,6.8328e-06
Feb-6-2023 10:05:03,13,Feb,6,2023,34.185,34.1856,45075,1878.08,100.004,-1.7246,-1.723,-1.7266,101.089,27.0288,27.0305,58063.9,10.1349,308.24,8.47606,0.1511,0.4594,-77.3977,-162.289,37.4202,10:05:03,14,0.595,0.094,0.0009,0.0005,0.0009,0.095,0.000565,0.000466,1.279,0.0069,0.208,0.00019,0.0178,0.1052,0,1e-05,6.8328e-06
Feb-6-2023 10:05:15,14,Feb,6,2023,34.185,34.1861,45361,1890,99.876,-1.7259,-1.7259,-1.7279,100.959,27.0276,27.0284,58064.7,10.1266,307.985,8.47637,0.1355,0.4407,-77.3977,-162.289,37.4203,10:05:15,14,0.595,0.082,0.0004,0.0006,0.0004,0.084,0.000308,0.000501,0.634,0.0047,0.143,9e-05,0.0082,0.0397,0,1e-05,6.8328e-06
