Date_Time,Bottle,Month,Day,Year,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]",Scan,"Time, Elapsed [seconds]","Depth [salt water, m]","Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Pressure, Digiquartz [db]",Conductivity [mS/cm],"Conductivity, 2 [mS/cm]",Specific Conductance [uS/cm],"Oxygen, SBE 43 [mg/l]","Oxygen, SBE 43 [umol/kg]","Oxygen Saturation, Weiss [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]",Latitude [deg],Longitude [deg],Julian Days,Time,"Scan, sde","Elapsed, sde","Depth, sde","Temperature, sde","Temperature, 2, sde","Potental Temperature, sde","Pressure, sde","Conductivity, sde","Conductivity, 2, sde","Specific Conductance, sde","Oxygen [mg/l], sde","Oxygen [umol/kg], sde","Weiss [ml/l], sde","Beam Attenuation, sde","Fluorescence, sde","Latitude, sde","Longitude, sde","Julian Days, sde"
Feb-3-2023 07:26:28,1,Feb,3,2023,34.6988,34.7018,95026,3959.38,3571.18,0.3485,0.3471,0.0981,3639.69,30.5969,30.598,60352.2,8.0072,243.446,7.98759,0.0364,-0.0259,-74.9999,-160,34.31,07:26:28,14,0.595,0.233,0.0005,0.0005,0.0005,0.24,0.000425,0.000479,0.549,0.0074,0.226,0.00011,0.0037,0.0154,0,0,6.9864e-06
Feb-3-2023 07:26:43,2,Feb,3,2023,34.6988,34.7018,95390,3974.54,3570.88,0.3485,0.3472,0.0981,3639.38,30.5967,30.598,60351.9,8.0114,243.576,7.9876,0.0360,-0.0272,-74.9999,-160,34.3102,07:26:43,14,0.595,0.076,0.0002,0.0004,0.0002,0.078,0.000193,0.000418,0.487,0.0095,0.289,4e-05,0.0012,0.0154,0,0,6.91e-06
Feb-3-2023 07:37:31,3,Feb,3,2023,34.7024,34.7053,110945,4622.67,2999.48,0.4981,0.4965,0.2987,3052.92,30.5141,30.5149,59835.7,7.8699,239.274,7.95598,0.0080,-0.0328,-74.9999,-160,34.3177,07:37:31,14,0.595,0.104,0.0001,0.0001,0.0001,0.107,0.000158,0.000159,0.424,0.0048,0.147,2e-05,0.0005,0.0142,0,1e-05,6.899e-06
Feb-3-2023 07:37:50,4,Feb,3,2023,34.7024,34.7052,111387,4641.08,2999.86,0.4985,0.497,0.299,3053.3,30.5145,30.5155,59835.7,7.8672,239.191,7.9559,0.0080,-0.0297,-74.9999,-160,34.3179,07:37:50,14,0.595,0.248,0.0002,0.0002,0.0001,0.254,0.000206,0.000205,0.443,0.0059,0.18,3e-05,0.0005,0.0151,0,2e-05,6.8439e-06
Feb-3-2023 07:54:41,5,Feb,3,2023,34.7073,34.7093,135663,5652.58,1998.87,0.6852,0.6841,0.5664,2029.65,30.2822,30.2829,58948.5,7.5756,230.329,7.91674,0.0079,-0.0278,-74.9999,-160,34.3296,07:54:41,14,0.595,0.138,0.0004,0.0002,0.0004,0.141,0.000282,0.000226,0.599,0.0043,0.131,7e-05,0.0003,0.0154,0,1e-05,6.855e-06
Feb-3-2023 07:54:56,6,Feb,3,2023,34.7073,34.7094,136030,5667.88,1999.88,0.6865,0.6855,0.5677,2030.68,30.2838,30.2846,58948.4,7.5797,230.453,7.91647,0.0078,-0.0228,-74.9999,-160,34.3298,07:54:56,14,0.595,0.161,0.0001,0.0002,0.0001,0.164,0.0002,0.000254,0.373,0.0055,0.168,2e-05,0.0005,0.0149,0,1e-05,6.9538e-06
Feb-3-2023 08:12:40,7,Feb,3,2023,34.7222,34.7237,161550,6731.21,1000.39,1.1181,1.1179,1.0639,1013.36,30.2431,30.2441,57896.3,7.0982,215.818,7.82701,0.0088,-0.0259,-74.9999,-160,34.3421,08:12:40,14,0.595,0.205,0.0001,0.0002,0.0001,0.208,0.000176,0.000195,0.387,0.0063,0.193,2e-05,0.0005,0.0154,0,1e-05,6.9538e-06
Feb-3-2023 08:13:03,8,Feb,3,2023,34.7223,34.7237,162116,6754.79,1000.19,1.1182,1.1181,1.064,1013.15,30.2432,30.2442,57896.2,7.1004,215.886,7.82698,0.0086,-0.0247,-74.9999,-160,34.3424,08:13:03,14,0.595,0.226,0.0001,0.0001,0.0001,0.229,0.000192,0.000208,0.366,0.0056,0.171,2e-05,0.0006,0.0152,0,1e-05,6.8217e-06
Feb-3-2023 08:19:46,9,Feb,3,2023,34.7284,34.7296,171782,7157.54,700.177,1.3637,1.3634,1.3262,708.737,30.3275,30.3282,57516.8,6.8471,208.185,7.777,0.0108,-0.0209,-74.9999,-160,34.3471,08:19:46,14,0.595,0.278,0.0014,0.0013,0.0014,0.282,0.001276,0.001248,0.799,0.0041,0.125,0.00028,0.0011,0.0142,1e-05,1e-05,6.9647e-06
Feb-3-2023 08:20:01,10,Feb,3,2023,34.7282,34.7295,172151,7172.92,700.004,1.3645,1.3637,1.327,708.561,30.3279,30.3283,57515.9,6.8514,208.317,7.77687,0.0103,-0.0191,-74.9999,-160,34.3472,08:20:01,14,0.595,0.179,0.0011,0.0009,0.0011,0.181,0.000997,0.000767,0.675,0.0047,0.144,0.00021,0.0006,0.0133,0,1e-05,6.9647e-06
Feb-3-2023 08:25:44,11,Feb,3,2023,34.7158,34.7169,180379,7515.75,449.843,1.5945,1.5948,1.5706,455.065,30.4049,30.4061,57163,6.6626,202.582,7.73148,0.0129,-0.0023,-74.9999,-160,34.3512,08:25:44,14,0.595,0.363,0.0002,0.0002,0.0001,0.367,0.0003,0.000294,0.507,0.0059,0.18,3e-05,0.0014,0.0155,0,0,6.921e-06
Feb-3-2023 08:26:01,12,Feb,3,2023,34.7146,34.7161,180783,7532.58,450.158,1.5933,1.5934,1.5694,455.384,30.4031,30.4043,57162.2,6.641,201.926,7.73178,0.0132,-0.0128,-74.9999,-160,34.3514,08:26:01,14,0.595,0.219,0.0002,0.0002,0.0002,0.222,0.00031,0.000331,0.356,0.0042,0.128,4e-05,0.0008,0.0139,1e-05,1e-05,6.866e-06
Feb-3-2023 08:30:37,13,Feb,3,2023,34.339,34.3486,187393,7808,250.154,-0.1912,-0.198,-0.2001,252.935,28.4929,28.4944,57425,8.3436,253.743,8.12268,0.0162,0.0015,-74.9999,-160,34.3546,08:30:37,14,0.595,0.077,0.0124,0.0245,0.0124,0.078,0.010869,0.021273,12.839,0.0077,0.234,0.00266,0.0011,0.0153,0,1e-05,6.8881e-06
Feb-3-2023 08:30:51,14,Feb,3,2023,34.3405,34.3361,187731,7822.08,250.167,-0.2385,-0.2375,-0.2473,252.948,28.4541,28.4517,57456.4,8.3867,255.051,8.13286,0.0159,-0.0035,-74.9999,-160,34.3547,08:30:51,14,0.595,0.131,0.0127,0.0173,0.0127,0.133,0.012104,0.0164,12.509,0.0087,0.265,0.00281,0.0008,0.0136,0,1e-05,6.8217e-06
Feb-3-2023 08:33:44,15,Feb,3,2023,34.1071,34.108,191894,7995.54,149.975,-1.6988,-1.6974,-1.7019,151.605,27.0172,27.019,57974.8,10.0025,304.232,8.47462,0.0339,0.1666,-74.9999,-160,34.3568,08:33:44,14,0.595,0.162,0.0028,0.0031,0.0028,0.164,0.002607,0.003285,1.708,0.0073,0.221,0.00067,0.0022,0.0764,0,0,6.899e-06
Feb-3-2023 08:33:57,16,Feb,3,2023,34.1075,34.1079,192208,8008.62,149.913,-1.6976,-1.6977,-1.7008,151.542,27.0184,27.0186,57974.5,10.013,304.55,8.47432,0.0337,0.1317,-74.9999,-160,34.3569,08:33:57,14,0.595,0.197,0.0008,0.0005,0.0008,0.199,0.000924,0.000487,0.488,0.0039,0.118,0.00021,0.0011,0.0142,0,0,6.8881e-06
