Date_Time,Bottle,Month,Day,Year,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]",Scan,"Time, Elapsed [seconds]","Depth [salt water, m]","Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Pressure, Digiquartz [db]",Conductivity [mS/cm],"Conductivity, 2 [mS/cm]",Specific Conductance [uS/cm],"Oxygen, SBE 43 [mg/l]","Oxygen, SBE 43 [umol/kg]","Oxygen Saturation, Weiss [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]",Latitude [deg],Longitude [deg],Julian Days,Time,"Scan, sde","Elapsed, sde","Depth, sde","Temperature, sde","Temperature, 2, sde","Potental Temperature, sde","Pressure, sde","Conductivity, sde","Conductivity, 2, sde","Specific Conductance, sde","Oxygen [mg/l], sde","Oxygen [umol/kg], sde","Weiss [ml/l], sde","Beam Attenuation, sde","Fluorescence, sde","Latitude, sde","Longitude, sde","Julian Days, sde"
Jan-29-2023 11:39:53,1,Jan,29,2023,34.7169,34.7183,19688,820.292,538.591,-1.9467,-1.9469,-1.9596,544.988,27.4267,27.4275,59486.6,9.9874,303.623,8.49673,0.0295,0.0049,-76.1,-175,29.486,11:39:53,14,0.595,0.073,0.0002,0.0001,0.0002,0.074,0.000203,0.000133,0.493,0.0043,0.13,4e-05,0.0018,0.0115,0,1e-05,6.9319e-06
Jan-29-2023 11:40:02,2,Jan,29,2023,34.717,34.7183,19898,829.042,538.78,-1.9468,-1.9471,-1.9598,545.179,27.4267,27.4275,59487.1,10.0051,304.161,8.49676,0.0296,0.0282,-76.1,-175,29.4861,11:40:02,14,0.595,0.18,0.0002,0.0001,0.0002,0.182,0.000172,0.000156,0.479,0.0041,0.126,3e-05,0.002,0.0235,0,1e-05,6.855e-06
Jan-29-2023 11:43:38,3,Jan,29,2023,34.5289,34.5306,25104,1045.96,400.127,-1.8301,-1.8304,-1.8394,404.743,27.3261,27.3271,58970.1,9.7474,296.371,8.4805,0.0143,0.0037,-76.1,-175,29.4886,11:43:38,14,0.595,0.028,0.0003,0.0004,0.0003,0.028,0.000147,0.000167,0.732,0.0052,0.157,4e-05,0.001,0.0104,0,0,6.866e-06
Jan-29-2023 11:43:52,4,Jan,29,2023,34.5275,34.529,25422,1059.21,400.322,-1.8289,-1.8291,-1.8382,404.94,27.3262,27.3271,58967.2,9.7601,296.758,8.4803,0.0138,0.0043,-76.1,-175,29.4888,11:43:52,14,0.595,0.124,0.0002,0.0001,0.0001,0.126,0.000172,0.000179,0.557,0.0029,0.088,2e-05,0.001,0.0109,0,0,6.8106e-06
Jan-29-2023 11:48:35,5,Jan,29,2023,34.4188,34.4202,32211,1342.08,200.142,-1.2952,-1.2947,-1.3003,202.352,27.601,27.6025,58218.9,9.2783,282.138,8.36351,0.0414,0.2184,-76.1,-175,29.4921,11:48:35,14,0.595,0.147,0.0007,0.001,0.0007,0.148,0.000693,0.001013,0.628,0.0046,0.14,0.00017,0.0016,0.0159,0,0,6.899e-06
Jan-29-2023 11:49:00,6,Jan,29,2023,34.4179,34.4192,32830,1367.88,200.555,-1.2963,-1.2963,-1.3014,202.77,27.5997,27.6006,58218.7,9.274,282.007,8.36381,0.0406,0.1837,-76.1,-175,29.4924,11:49:00,14,0.595,0.132,0.0001,0.0002,0.0001,0.134,0.000186,0.000183,0.433,0.0049,0.149,2e-05,0.0019,0.0179,0,0,6.921e-06
Jan-29-2023 11:53:04,7,Jan,29,2023,34.3037,34.3067,38671,1611.25,99.948,-1.6166,-1.6128,-1.6188,101.026,27.2035,27.2088,58169.4,9.802,298.086,8.44405,0.0349,0.2776,-76.1,-175,29.4952,11:53:04,14,0.595,0.073,0.0017,0.0022,0.0017,0.074,0.001893,0.002534,0.773,0.0075,0.228,0.00044,0.0018,0.0432,0,0,6.8439e-06
Jan-29-2023 11:53:16,8,Jan,29,2023,34.3031,34.3043,38970,1623.71,100.165,-1.6184,-1.6179,-1.6206,101.246,27.2017,27.203,58170,9.8139,298.448,8.44449,0.0355,0.2949,-76.1,-175,29.4953,11:53:16,14,0.595,0.082,0.0003,0.0002,0.0003,0.083,0.000351,0.000241,0.525,0.0039,0.12,7e-05,0.0023,0.0534,0,1e-05,6.8328e-06
Jan-29-2023 11:55:08,9,Jan,29,2023,34.2432,34.2451,41658,1735.71,60.092,-1.6771,-1.6774,-1.6784,60.735,27.0913,27.0924,58079.8,10.0839,306.673,8.46161,0.0767,0.817,-76.1,-175,29.4966,11:55:08,14,0.595,0.051,0.0002,0.0003,0.0002,0.052,0.000139,0.000206,0.442,0.0056,0.17,4e-05,0.0041,0.0201,0,0,6.855e-06
Jan-29-2023 11:55:23,10,Jan,29,2023,34.2434,34.2446,42023,1750.92,60.174,-1.6771,-1.6769,-1.6783,60.817,27.0915,27.0925,58080.1,10.0912,306.896,8.4616,0.0782,0.7548,-76.1,-175,29.4968,11:55:23,14,0.595,0.03,0.0003,0.0002,0.0003,0.03,0.000188,0.000206,0.549,0.0048,0.144,5e-05,0.0037,0.0515,1e-05,0,6.9429e-06
Jan-29-2023 11:57:11,11,Jan,29,2023,34.1751,34.177,44596,1858.12,20.095,-0.7154,-0.7176,-0.716,20.308,27.8239,27.8234,57287.6,11.7135,356.264,8.24693,0.3935,4.5165,-76.1,-175,29.498,11:57:11,14,0.595,0.031,0.0004,0.0006,0.0004,0.031,0.000284,0.000335,0.61,0.006,0.183,9e-05,0.008,0.0725,0,0,6.9538e-06
Jan-29-2023 11:57:21,12,Jan,29,2023,34.1753,34.1766,44845,1868.5,19.903,-0.7156,-0.7159,-0.7162,20.114,27.8238,27.8244,57287.7,11.7184,356.414,8.24696,0.3893,4.7138,-76.1,-175,29.4982,11:57:21,14,0.595,0.096,0.0001,0.0005,0.0002,0.097,0.000148,0.000341,0.411,0.0054,0.165,3e-05,0.0072,0.1046,0,0,6.899e-06
Jan-29-2023 11:57:30,13,Jan,29,2023,34.1751,34.1765,45051,1877.08,19.827,-0.7147,-0.7147,-0.7153,20.037,27.8244,27.8254,57286.8,11.7315,356.811,8.24677,0.3896,4.8179,-76.1,-175,29.4983,11:57:30,14,0.595,0.049,0.0007,0.0004,0.0007,0.049,0.000407,0.00027,0.946,0.0053,0.162,0.00014,0.0064,0.0885,0,1e-05,6.9319e-06
Jan-29-2023 11:57:40,14,Jan,29,2023,34.1759,34.177,45303,1887.58,20.231,-0.7158,-0.7156,-0.7164,20.445,27.8242,27.8252,57289,11.741,357.1,8.24698,0.3838,4.6092,-76.1,-175,29.4984,11:57:40,14,0.595,0.05,0.0002,0.0002,0.0002,0.05,0.000166,0.000141,0.492,0.0062,0.187,4e-05,0.0052,0.0838,0,1e-05,6.7659e-06
