Date_Time,Bottle,Month,Day,Year,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]",Scan,"Time, Elapsed [seconds]","Depth [salt water, m]","Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Pressure, Digiquartz [db]",Conductivity [mS/cm],"Conductivity, 2 [mS/cm]",Specific Conductance [uS/cm],"Oxygen, SBE 43 [mg/l]","Oxygen, SBE 43 [umol/kg]","Oxygen Saturation, Weiss [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]",Latitude [deg],Longitude [deg],Julian Days,Time,"Scan, sde","Elapsed, sde","Depth, sde","Temperature, sde","Temperature, 2, sde","Potental Temperature, sde","Pressure, sde","Conductivity, sde","Conductivity, 2, sde","Specific Conductance, sde","Oxygen [mg/l], sde","Oxygen [umol/kg], sde","Weiss [ml/l], sde","Beam Attenuation, sde","Fluorescence, sde","Latitude, sde","Longitude, sde","Julian Days, sde"
Feb-1-2023 05:02:34,1,Feb,1,2023,34.4716,34.4729,19856,827.292,532.635,-1.84,-1.8405,-1.853,538.99,27.337,27.3376,59018.9,9.8287,298.856,8.48618,0.0744,0.0455,-77.8,-170,32.2101,05:02:34,14,0.595,0.052,0.0002,0.0001,0.0002,0.052,0.000157,0.000146,0.647,0.0055,0.167,4e-05,0.0014,0.0147,0,0,6.899e-06
Feb-1-2023 05:02:43,2,Feb,1,2023,34.4716,34.4729,20073,836.333,532.808,-1.8401,-1.8404,-1.8531,539.166,27.3371,27.3377,59019.3,9.8183,298.54,8.48621,0.0729,0.0455,-77.8,-170,32.2102,05:02:43,14,0.595,0.126,0.0002,0.0001,0.0002,0.127,0.000141,0.00017,0.496,0.0041,0.125,4e-05,0.0014,0.0169,1e-05,0,6.9429e-06
Feb-1-2023 05:02:51,3,Feb,1,2023,34.4716,34.473,20263,844.25,532.829,-1.8402,-1.8405,-1.8532,539.187,27.337,27.3377,59019.4,9.8324,298.971,8.48623,0.0738,0.0264,-77.8,-170,32.2103,05:02:51,14,0.595,0.03,0.0002,0.0001,0.0002,0.031,0.000156,0.000148,0.538,0.005,0.151,3e-05,0.0015,0.0238,0,0,6.9429e-06
Feb-1-2023 05:06:13,4,Feb,1,2023,34.4548,34.4562,25112,1046.29,399.716,-1.8378,-1.838,-1.8471,404.354,27.2663,27.2672,58860.7,9.9783,303.41,8.48667,0.0183,0.0043,-77.8,-170,32.2126,05:06:13,14,0.595,0.147,0.0002,0.0001,0.0002,0.149,0.000234,0.00024,0.369,0.0037,0.112,4e-05,0.0023,0.0109,1e-05,1e-05,6.921e-06
Feb-1-2023 05:06:23,5,Feb,1,2023,34.4546,34.456,25348,1056.12,400.143,-1.8389,-1.8387,-1.8481,404.787,27.2655,27.2666,58861.7,9.9807,303.482,8.48692,0.0168,0.0103,-77.8,-170,32.2128,05:06:23,14,0.595,0.113,0.0003,0.0004,0.0002,0.114,0.000263,0.000401,0.477,0.0072,0.217,6e-05,0.0012,0.0229,1e-05,0,6.8328e-06
Feb-1-2023 05:06:32,6,Feb,1,2023,34.4546,34.456,25563,1065.08,399.673,-1.8387,-1.8387,-1.8479,404.312,27.2655,27.2664,58861.1,9.9755,303.324,8.48687,0.0185,0.0037,-77.8,-170,32.2129,05:06:32,14,0.595,0.135,0.0002,0.0002,0.0002,0.137,0.00029,0.000133,0.48,0.0064,0.194,6e-05,0.0018,0.0104,1e-05,0,6.8439e-06
Feb-1-2023 05:09:29,7,Feb,1,2023,34.4389,34.4405,29830,1242.88,299.336,-1.8042,-1.8067,-1.8109,302.736,27.2369,27.236,58711.9,9.954,302.676,8.47974,0.0186,0.039,-77.8,-170,32.2149,05:09:29,14,0.595,0.095,0.0021,0.0015,0.0021,0.096,0.001663,0.001144,1.961,0.0061,0.187,0.00048,0.001,0.0212,0,0,6.7995e-06
Feb-1-2023 05:09:38,8,Feb,1,2023,34.4387,34.4401,30030,1251.21,299.795,-1.8031,-1.8031,-1.8098,303.201,27.2379,27.2389,58711.3,9.9604,302.869,8.4795,0.0192,0.0443,-77.8,-170,32.215,05:09:38,14,0.595,0.102,0.0002,0.0003,0.0002,0.103,0.00018,0.000184,0.486,0.0065,0.196,4e-05,0.001,0.0148,1e-05,1e-05,6.8217e-06
Feb-1-2023 05:09:48,9,Feb,1,2023,34.4388,34.4401,30270,1261.21,299.514,-1.804,-1.8048,-1.8107,302.916,27.2371,27.2373,58711.7,9.9584,302.809,8.4797,0.0206,0.0426,-77.8,-170,32.2151,05:09:48,14,0.595,0.126,0.0006,0.0011,0.0006,0.128,0.000504,0.000871,0.798,0.0066,0.2,0.00014,0.0016,0.0148,1e-05,1e-05,6.7883e-06
Feb-1-2023 05:12:07,10,Feb,1,2023,34.4109,34.4123,33613,1400.5,200.623,-1.7637,-1.764,-1.768,202.853,27.205,27.2057,58540.8,9.9044,301.175,8.47193,0.0415,0.1227,-77.8,-170,32.2167,05:12:07,14,0.595,0.072,0.0006,0.0009,0.0005,0.073,0.000257,0.000327,0.934,0.0081,0.247,0.00011,0.0042,0.0239,1e-05,0,6.9972e-06
Feb-1-2023 05:12:18,11,Feb,1,2023,34.4112,34.4128,33866,1411.04,200.174,-1.7638,-1.7646,-1.7682,202.399,27.2049,27.2054,58541,9.9037,301.154,8.47195,0.0423,0.1442,-77.8,-170,32.2169,05:12:18,14,0.595,0.044,0.0002,0.0005,0.0002,0.045,0.000152,0.000231,0.559,0.0039,0.12,3e-05,0.0025,0.0242,0,1e-05,6.866e-06
Feb-1-2023 05:12:28,12,Feb,1,2023,34.4106,34.4117,34112,1421.29,199.992,-1.7634,-1.7637,-1.7677,202.214,27.2047,27.2052,58539.5,9.892,300.796,8.47189,0.0482,0.1651,-77.8,-170,32.217,05:12:28,14,0.595,0.051,0.0002,0.0003,0.0002,0.052,0.000169,0.000168,0.628,0.0077,0.234,4e-05,0.0076,0.0203,0,0,6.9864e-06
Feb-1-2023 05:14:45,13,Feb,1,2023,34.3318,34.3338,37398,1558.21,99.575,-1.766,-1.7595,-1.7681,100.656,27.0995,27.1063,58319.7,9.9024,301.133,8.47712,0.0993,0.591,-77.8,-170,32.2186,05:14:45,14,0.595,0.245,0.0042,0.0027,0.0042,0.247,0.004058,0.002607,3.423,0.0166,0.505,0.00102,0.0021,0.0377,0,0,6.7547e-06
Feb-1-2023 05:14:55,14,Feb,1,2023,34.3298,34.3312,37633,1568,99.497,-1.7744,-1.7739,-1.7764,100.578,27.0911,27.0925,58322.6,9.935,302.123,8.47919,0.0973,0.5802,-77.8,-170,32.2187,05:14:55,14,0.595,0.194,0.0023,0.0025,0.0023,0.197,0.002044,0.002332,1.939,0.0061,0.187,0.00054,0.0026,0.0621,0,1e-05,6.9972e-06
Feb-1-2023 05:15:21,15,Feb,1,2023,34.328,34.3295,38272,1594.62,99.517,-1.7886,-1.7809,-1.7906,100.598,27.078,27.0855,58330.3,9.9714,303.23,8.48261,0.0926,0.5156,-77.8,-170,32.219,05:15:21,14,0.595,0.048,0.0004,0.0033,0.0004,0.048,0.000498,0.002507,0.536,0.0062,0.187,0.00011,0.0033,0.0669,0,0,6.91e-06
Feb-1-2023 05:16:32,16,Feb,1,2023,34.2802,34.2831,39967,1665.25,69.656,-1.7838,-1.7848,-1.7852,70.408,27.0339,27.0351,58223.1,10.2109,310.526,8.48429,0.1187,0.7793,-77.8,-170,32.2198,05:16:32,14,0.595,0.109,0.0025,0.0024,0.0024,0.11,0.000523,0.000542,5.506,0.0107,0.324,0.00043,0.0053,0.197,1e-05,0,7.0189e-06
Feb-1-2023 05:16:43,17,Feb,1,2023,34.2641,34.2663,40241,1676.67,70.014,-1.7708,-1.7717,-1.7722,70.769,27.0333,27.0342,58189.1,10.2971,313.153,8.4822,0.1248,0.8738,-77.8,-170,32.2199,05:16:43,14,0.595,0.068,0.0002,0.0007,0.0002,0.068,0.000136,0.00018,0.548,0.0097,0.296,3e-05,0.0073,0.121,0,0,6.9755e-06
Feb-1-2023 05:17:02,18,Feb,1,2023,34.2641,34.2652,40697,1695.67,70.042,-1.7706,-1.7704,-1.772,70.798,27.0335,27.0344,58189.2,10.3077,313.475,8.48216,0.1242,1.0317,-77.8,-170,32.2202,05:17:02,14,0.595,0.041,0.0002,0.0002,0.0002,0.041,0.000198,0.000194,0.483,0.0034,0.105,4e-05,0.0064,0.0952,1e-05,1e-05,6.9429e-06
Feb-1-2023 05:18:34,19,Feb,1,2023,34.0767,34.1053,42904,1787.62,34.97,-1.0334,-1.1319,-1.0343,35.345,27.4933,27.4323,57358.1,11.7698,357.999,8.32378,0.3684,4.3012,-77.8,-170,32.2212,05:18:34,14,0.595,0.039,0.0273,0.0428,0.0273,0.04,0.020946,0.018646,25.29,0.0272,0.828,0.00599,0.0099,0.1464,0,0,6.7771e-06
Feb-1-2023 05:18:43,20,Feb,1,2023,34.0919,34.0917,43122,1796.71,34.557,-1.0947,-1.0881,-1.0956,34.926,27.4531,27.4585,57421.4,11.9215,362.608,8.3368,0.3744,4.5864,-77.8,-170,32.2213,05:18:43,14,0.595,0.094,0.0361,0.0339,0.0361,0.095,0.027367,0.025519,31.703,0.0489,1.486,0.00795,0.0123,0.3872,1e-05,0,6.9319e-06
Feb-1-2023 05:18:52,21,Feb,1,2023,34.0818,34.0821,43334,1805.54,34.918,-1.0334,-1.0459,-1.0343,35.291,27.497,27.4868,57365.8,11.8947,361.796,8.32349,0.3935,4.9022,-77.8,-170,32.2214,05:18:52,14,0.595,0.07,0.0039,0.0044,0.0039,0.071,0.002286,0.003103,8.406,0.005,0.152,0.00073,0.0218,0.0801,1e-05,0,6.866e-06
Feb-1-2023 05:20:15,22,Feb,1,2023,33.984,33.9853,45326,1888.54,2.256,-0.5813,-0.5815,-0.5813,2.28,27.7862,27.787,56895.6,12.5266,381.055,8.22798,0.4277,3.3389,-77.8,-170,32.2224,05:20:15,14,0.595,0.053,0.0004,0.0003,0.0004,0.054,0.000307,0.00022,0.482,0.0068,0.206,8e-05,0.0142,0.0548,0,0,6.8328e-06
Feb-1-2023 05:20:24,23,Feb,1,2023,33.9841,33.9853,45551,1897.92,2.598,-0.5803,-0.5809,-0.5803,2.626,27.7873,27.7877,56895.4,12.5487,381.725,8.22776,0.4249,3.4956,-77.8,-170,32.2225,05:20:24,14,0.595,0.099,0.0006,0.0003,0.0006,0.1,0.000533,0.000242,0.576,0.0029,0.089,0.00013,0.0076,0.0978,0,0,6.9972e-06
Feb-1-2023 05:20:35,24,Feb,1,2023,33.984,33.9853,45813,1908.83,2.945,-0.5797,-0.5796,-0.5797,2.976,27.7879,27.7889,56895.2,12.5598,382.064,8.22763,0.4212,3.394,-77.8,-170,32.2226,05:20:35,14,0.595,0.122,0.0007,0.0007,0.0007,0.123,0.000598,0.000502,0.707,0.0039,0.12,0.00015,0.0119,0.1047,0,0,6.855e-06
