Date_Time,Bottle,Month,Day,Year,"Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]",Scan,"Time, Elapsed [seconds]","Depth [salt water, m]","Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]","Potential Temperature [ITS-90, deg C]","Pressure, Digiquartz [db]",Conductivity [mS/cm],"Conductivity, 2 [mS/cm]",Specific Conductance [uS/cm],"Oxygen, SBE 43 [mg/l]","Oxygen, SBE 43 [umol/kg]","Oxygen Saturation, Weiss [ml/l]","Beam Attenuation, WET Labs C-Star [1/m]","Fluorescence, WET Labs ECO-AFL/FL [mg/m^3]",Latitude [deg],Longitude [deg],Julian Days,Time,"Scan, sde","Elapsed, sde","Depth, sde","Temperature, sde","Temperature, 2, sde","Potental Temperature, sde","Pressure, sde","Conductivity, sde","Conductivity, 2, sde","Specific Conductance, sde","Oxygen [mg/l], sde","Oxygen [umol/kg], sde","Weiss [ml/l], sde","Beam Attenuation, sde","Fluorescence, sde","Latitude, sde","Longitude, sde","Julian Days, sde"
Jan-27-2023 07:44:58,1,Jan,27,2023,34.6376,34.6398,15634,651.375,400.233,-1.8372,-1.8379,-1.8465,404.829,27.3982,27.3992,59143.7,9.5754,291.118,8.47578,0.0556,0.0079,-74.9,180,27.3229,07:44:58,14,0.595,0.053,0.001,0.0008,0.001,0.053,0.00017,0.000158,2.539,0.0054,0.163,0.00017,0.0033,0.0134,0,0,6.8328e-06
Jan-27-2023 07:45:07,2,Jan,27,2023,34.6375,34.6386,15844,660.125,400.203,-1.8368,-1.8367,-1.8461,404.798,27.3985,27.3993,59143.3,9.585,291.409,8.47569,0.0522,0.0031,-74.9,180,27.323,07:45:07,14,0.595,0.152,0.0002,0.0002,0.0003,0.154,0.000142,0.000122,0.72,0.0043,0.131,4e-05,0.0015,0.0097,0,0,6.866e-06
Jan-27-2023 07:45:15,3,Jan,27,2023,34.6395,34.6396,16048,668.625,400.395,-1.8385,-1.8375,-1.8479,404.992,27.3985,27.3994,59147.9,9.5932,291.659,8.47597,0.0557,0.0079,-74.9,180,27.3231,07:45:15,14,0.595,0.037,0.0009,0.0007,0.0009,0.037,0.000119,0.000134,2.465,0.006,0.183,0.00015,0.0015,0.0134,0,0,6.9429e-06
Jan-27-2023 07:47:57,4,Jan,27,2023,34.5723,34.5744,19928,830.292,299.199,-1.7788,-1.7834,-1.7856,302.559,27.3537,27.3513,58899.2,9.6228,292.575,8.466,0.0179,0.0025,-74.9,180,27.325,07:47:57,14,0.595,0.157,0.003,0.0027,0.003,0.159,0.002719,0.002142,2.467,0.0058,0.175,0.0007,0.0005,0.009,0,1e-05,6.877e-06
Jan-27-2023 07:48:07,5,Jan,27,2023,34.5728,34.5743,20161,840,299.006,-1.7822,-1.7807,-1.7891,302.364,27.3511,27.3534,58902.3,9.6162,292.372,8.46677,0.0172,0.0043,-74.9,180,27.3251,07:48:07,14,0.595,0.034,0.0004,0.0005,0.0004,0.035,0.000307,0.000425,0.615,0.0071,0.214,9e-05,0.0007,0.0125,0,1e-05,6.9319e-06
Jan-27-2023 07:48:25,6,Jan,27,2023,34.5717,34.5736,20598,858.208,299.007,-1.7695,-1.7728,-1.7763,302.365,27.3609,27.3595,58891.1,9.6281,292.735,8.46386,0.0153,0.0043,-74.9,180,27.3253,07:48:25,14,0.595,0.159,0.0009,0.0019,0.0009,0.161,0.00052,0.001393,1.254,0.0046,0.141,0.00018,0.0007,0.0109,0,0,6.8217e-06
Jan-27-2023 07:50:36,7,Jan,27,2023,34.5331,34.5347,23748,989.458,199.553,-1.7631,-1.7631,-1.7675,201.745,27.2925,27.2937,58727.9,9.6263,292.689,8.46465,0.0183,0.042,-74.9,180,27.3268,07:50:36,14,0.595,0.21,0.0003,0.0006,0.0003,0.212,0.00018,0.000583,0.6,0.0068,0.206,6e-05,0.0007,0.0147,0,1e-05,6.855e-06
Jan-27-2023 07:51:00,8,Jan,27,2023,34.5331,34.5347,24322,1013.38,199.844,-1.7611,-1.762,-1.7655,202.04,27.2944,27.2948,58726.7,9.623,292.589,8.46418,0.0187,0.042,-74.9,180,27.3271,07:51:00,14,0.595,0.153,0.0021,0.0021,0.0021,0.154,0.001592,0.001439,2.2,0.0057,0.175,0.00047,0.0004,0.0147,0,1e-05,6.921e-06
Jan-27-2023 07:51:11,9,Jan,27,2023,34.5328,34.5344,24597,1024.83,199.853,-1.7606,-1.7611,-1.765,202.048,27.2946,27.2953,58725.9,9.6515,293.455,8.46408,0.0189,0.0414,-74.9,180,27.3272,07:51:11,14,0.595,0.145,0.0008,0.001,0.0008,0.146,0.000643,0.000792,1,0.0031,0.094,0.00018,0.0006,0.0147,0,0,6.855e-06
Jan-27-2023 07:53:16,10,Jan,27,2023,34.4654,34.4671,27595,1149.75,119.611,-1.4211,-1.4211,-1.424,120.901,27.4922,27.4935,58299.3,9.3704,284.925,8.3896,0.0292,0.1825,-74.9,180,27.3287,07:53:16,14,0.595,0.049,0.0011,0.0004,0.0011,0.049,0.000585,0.000324,1.82,0.0041,0.125,0.00022,0.001,0.0257,0,1e-05,6.9319e-06
Jan-27-2023 07:53:24,11,Jan,27,2023,34.4639,34.4663,27791,1157.92,119.657,-1.4098,-1.4154,-1.4127,120.948,27.5006,27.4977,58289,9.3699,284.912,8.3871,0.0309,0.1586,-74.9,180,27.3287,07:53:24,14,0.595,0.062,0.002,0.0043,0.002,0.063,0.001571,0.002626,1.934,0.0035,0.106,0.00045,0.0013,0.0189,0,1e-05,6.8881e-06
Jan-27-2023 07:53:37,12,Jan,27,2023,34.4623,34.464,28085,1170.17,120.333,-1.4007,-1.4017,-1.4036,121.631,27.5074,27.5077,58281,9.3659,284.79,8.38511,0.0314,0.152,-74.9,180,27.3289,07:53:37,14,0.595,0.104,0.0011,0.0014,0.0011,0.106,0.000779,0.001028,1.467,0.0046,0.14,0.00024,0.0005,0.0207,0,1e-05,6.8328e-06
Jan-27-2023 07:54:59,13,Jan,27,2023,34.3644,34.3722,30069,1252.83,80.063,-1.4012,-1.3996,-1.4031,80.918,27.4173,27.4243,58091.5,9.5702,291.025,8.39089,0.0943,1.0377,-74.9,180,27.3298,07:54:59,14,0.595,0.112,0.0012,0.0019,0.0012,0.113,0.003797,0.004644,5.234,0.0178,0.541,0.0005,0.0068,0.058,0,1e-05,6.9647e-06
Jan-27-2023 07:55:11,14,Jan,27,2023,34.3556,34.3582,30347,1264.42,79.523,-1.4051,-1.4051,-1.407,80.373,27.4074,27.4094,58080.1,9.739,296.161,8.3923,0.1101,1.3738,-74.9,180,27.33,07:55:11,14,0.595,0.059,0.0004,0.0008,0.0004,0.059,0.001122,0.001642,1.986,0.0044,0.134,0.00014,0.0045,0.0318,1e-05,0,6.899e-06
Jan-27-2023 07:55:21,15,Jan,27,2023,34.3485,34.351,30580,1274.12,79.68,-1.4093,-1.4086,-1.4111,80.531,27.399,27.4013,58072.3,9.7608,296.826,8.39365,0.1196,1.3876,-74.9,180,27.3301,07:55:21,14,0.595,0.069,0.0013,0.0008,0.0013,0.07,0.002099,0.001173,1.92,0.0029,0.089,0.00038,0.0056,0.0196,0,1e-05,6.91e-06
Jan-27-2023 07:56:19,16,Jan,27,2023,34.199,34.2008,31990,1332.88,60.109,-1.0219,-1.0234,-1.0235,60.748,27.604,27.6041,57561.5,11.4779,349.086,8.31419,0.2450,3.1458,-74.9,180,27.3308,07:56:19,14,0.595,0.063,0.0003,0.0006,0.0003,0.063,0.000346,0.000432,0.425,0.0042,0.126,8e-05,0.0035,0.1639,0,0,6.91e-06
Jan-27-2023 07:56:30,17,Jan,27,2023,34.1994,34.2009,32247,1343.58,59.759,-1.0228,-1.0229,-1.0244,60.395,27.6034,27.6044,57562.3,11.4892,349.43,8.31437,0.2459,3.1177,-74.9,180,27.3309,07:56:30,14,0.595,0.118,0.0003,0.0001,0.0003,0.119,0.000285,0.00019,0.488,0.0066,0.2,5e-05,0.0044,0.1046,1e-05,1e-05,6.899e-06
Jan-27-2023 07:56:39,18,Jan,27,2023,34.1995,34.2011,32470,1352.88,59.569,-1.0231,-1.0232,-1.0247,60.203,27.6031,27.6042,57562.5,11.5045,349.897,8.31443,0.2397,3.2259,-74.9,180,27.331,07:56:39,14,0.595,0.099,0.0002,0.0002,0.0001,0.1,0.000187,0.000188,0.489,0.0059,0.179,3e-05,0.0083,0.0574,1e-05,0,6.8881e-06
Jan-27-2023 07:58:03,19,Jan,27,2023,34.1947,34.1962,34473,1436.33,29.588,-0.9852,-0.9854,-0.986,29.901,27.6173,27.6183,57501.2,11.6103,353.116,8.30616,0.2446,2.8013,-74.9,180,27.332,07:58:03,14,0.595,0.206,0.0008,0.0007,0.0008,0.209,0.000484,0.000381,1.16,0.0039,0.119,0.00017,0.002,0.1817,0,1e-05,6.9429e-06
Jan-27-2023 07:58:20,20,Jan,27,2023,34.195,34.1965,34878,1453.21,29.859,-0.987,-0.9866,-0.9878,30.175,27.6162,27.6176,57503.1,11.615,353.259,8.30655,0.2468,2.8258,-74.9,180,27.3322,07:58:20,14,0.595,0.088,0.0007,0.0005,0.0007,0.089,0.000428,0.000385,0.842,0.0065,0.197,0.00014,0.0047,0.2934,0,0,6.877e-06
Jan-27-2023 07:58:30,21,Jan,27,2023,34.1949,34.1964,35120,1463.29,29.691,-0.9859,-0.9859,-0.9867,30.005,27.617,27.618,57502,11.6175,353.335,8.30631,0.2463,2.72,-74.9,180,27.3323,07:58:30,14,0.595,0.084,0.0005,0.0004,0.0005,0.085,0.000303,0.000262,0.75,0.0055,0.168,0.00011,0.0062,0.1463,0,0,7.0189e-06
Jan-27-2023 07:59:48,22,Jan,27,2023,34.1871,34.1886,36992,1541.29,3.054,-0.9612,-0.9612,-0.9613,3.086,27.6194,27.6205,57448.1,11.6706,354.951,8.3012,0.2469,2.4514,-74.9,180,27.3332,07:59:48,14,0.595,0.106,0.0002,0.0002,0.0002,0.108,0.000177,0.000141,0.505,0.0029,0.088,3e-05,0.0032,0.0736,1e-05,1e-05,6.9647e-06
Jan-27-2023 08:00:01,23,Jan,27,2023,34.1868,34.1883,37305,1554.33,2.837,-0.9611,-0.961,-0.9612,2.867,27.6192,27.6204,57447.4,11.6769,355.145,8.3012,0.2461,2.4096,-74.9,180,27.3333,08:00:01,14,0.595,0.099,0.0001,0.0001,0.0002,0.1,0.000168,0.000147,0.492,0.0107,0.325,3e-05,0.0069,0.0719,0,1e-05,6.866e-06
